"Site","Tag","Array","Genotype","NurseyGroup","FragID","T0_Method","T0_TLE","T0_NumBranch","T0_SA","T0_V","T0_Vcx","T0_SAcx","T3_Status","T3_TLE","T3_NumBranch","T3_SA","T3_V","T3_Vcx","T3_SAcx","T6_Status","T6_TLE","T6_NumBranch","T6_SA","T6_V","T6_Vcx","T6_SAcx","T9_Status","T9_TLE","T9_NumBranch","T9_SA","T9_V","T9_Vcx","T9_SAcx","T12_Status","T12_TLE","T12_NumBranch","T12_SA","T12_V","T12_Vcx","T12_SAcx","T3_Break","T6_Break","T9_Break","T12_Break","T12_Dead","T12_TOD","SevereBreak","CulumativeBreaks","X","T0_FieldTLE","T6_FieldTLE","T0_Vinter","T3_Vinter","T6_Vinter","T9_Vinter","T12_Vinter"
"Bahia Honda","15","2","62","10","5","hand",12.3,NA,44.61939,11.630115,29.15686,55.83522,"A",1.387,1,9.859,2.997,3.848,13.993,"A",4.557,6,18.256,6.323,9.176,25.091,"A",5.511,4,26.125,10.712,18.346,38.868,"A",14.83,10,51.76,12.636,44.157,68.862,1,0,0,0,0,13,"",1,"",12.3,3.9,17.526745,0.851,2.853,7.634,31.521
"Bahia Honda","16","2","1","1","4","3D",11.42,NA,64.259,25.912,47.208,74.968,"A",29.289,16,110.475,20.128,112.233,128.061,"A",2.561,2,18.48,6.134,9.473,28.95,"A",6.052,6,26.8,9.139,17.282,40.327,"A",17.264,10,56.62,10.511,45.62,69.322,0,1,0,0,0,13,"",1,"",12.2,2.8,21.296,92.105,3.339,8.143,35.109
"Bahia Honda","17","2","13","4","6","3D",5.335,NA,22.3710905,5.15788875,9.242532,27.881889,"D",0,NA,NA,NA,NA,NA,"D",NA,NA,NA,NA,NA,NA,"D",NA,NA,NA,NA,NA,NA,"D",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,3,"p",1,"",9.2,NA,4.08464325,NA,NA,NA,NA
"Bahia Honda","18","2","44","8","5","hand",9.2,NA,34.71706,8.74944,20.29334,43.39368,"A",0.663,1,5.661,1.073,1.853,10.853,"A",0.82,1,7.845,1.656,2.683,12.916,"A",2.02,3,12.057,4.359,5.497,19.973,"A",6.581,5,22.317,5.146,12.223,29.489,1,0,0,0,0,13,"",1,"",9.2,1.4,11.5439,0.78,1.027,1.138,7.077
"Bahia Honda","19","2","36","6","7","3D",7.632,NA,32.093,7.301,16.228,39.571,"A",1.417,1,12.874,4.361,6.42,22.696,"A",1.891,2,16.228,4.791,8.552,27.453,"A",4.32,4,21.36,9.458,13.553,36.759,"A",10.4,7,47.581,13.455,38.533,63.961,1,0,0,0,0,13,"",1,"",8.5,3.6,8.927,2.059,3.761,4.095,25.078
"Bahia Honda","20","2","50","9","6","hand",8.5,NA,32.48105,8.098965,18.2919,40.5843,"A",5.496,2,25.957,6.792,17.427,38.616,"A",11.222,7,41.28,10.039,33.708,59.151,"A",7.493,3,40.555,11.948,40.637,68.78,"A",20.326,12,72.549,13.533,72.054,95.656,1,0,1,0,0,13,"",2,"",8.5,14.1,10.192935,10.635,23.669,28.689,58.521
"Bahia Honda","21","3","44","8","6","hand",9.8,NA,36.63364,9.30699,22.00886,45.80172,"A",7.023,3,38.223,8.288,19.39,41.398,"A",2.873,2,9.054,1.835,3.087,11.359,"D",NA,NA,NA,NA,NA,NA,"D",2.428,1,15.001,4.117,6.277,18.159,1,0,NA,NA,1,9,"b",1,"dead, intact",9.8,6.1,12.70187,11.102,1.252,NA,2.16
"Bahia Honda","22","3","13","4","7","3D",8.696,NA,24.538,4.669,12.941,35.88,"A",1.032,1,5.986,1.41,2.005,9.746,"A",0.664,1,2.278,0.324,0.466,3.716,"A",0.7,1,1.586,0,0,1.586,"A",1.328,2,2.628,0.346,0.574,3.947,1,0,0,0,0,13,"b",1,"",8.9,1,8.272,0.595,0.142,0,0.228
"Bahia Honda","23","3","50","9","4","3D",4.846,NA,34.977,8.613,16.329,37.771,"D",0,NA,NA,NA,NA,NA,"D",4.977,3,18.915,5.241,9.645,26.195,"D",NA,NA,NA,NA,NA,NA,"D",2.473,1,9.615,1.929,3.053,12.016,1,0,NA,NA,1,3,"b",1,"",6.1,3.1,7.716,NA,4.404,NA,1.124
"Bahia Honda","24","3","31","5","5","3D",9.43,NA,35.319,8.273,19.06,45.359,"D",NA,NA,NA,NA,NA,NA,"D",2.075,1,10.088,2.837,4.058,13.553,"D",NA,NA,NA,NA,NA,NA,"D",2.181,1,10.989,2.496,3.727,13.004,0,1,NA,NA,1,3,"b",1,"",10,2.5,10.787,NA,1.221,NA,1.231
