"Site","Tag","Array","Genotype","NurseyGroup","FragID","T0_Method","T0_TLE","T0_NumBranch","T0_SA","T0_V","T0_Vcx","T0_SAcx","T3_Status","T3_TLE","T3_NumBranch","T3_SA","T3_V","T3_Vcx","T3_SAcx","T6_Status","T6_TLE","T6_NumBranch","T6_SA","T6_V","T6_Vcx","T6_SAcx","T9_Status","T9_TLE","T9_NumBranch","T9_SA","T9_V","T9_Vcx","T9_SAcx","T12_Status","T12_TLE","T12_NumBranch","T12_SA","T12_V","T12_Vcx","T12_SAcx","T3_Break","T6_Break","T9_Break","T12_Break","T12_Dead","T12_TOD","SevereBreak","CulumativeBreaks","X","T0_FieldTLE","T6_FieldTLE","T0_Vinter","T3_Vinter","T6_Vinter","T9_Vinter","T12_Vinter"
"Big Pine","25","3","62","10","9","3D",7.491,NA,35.749,9.335,18.988,41.493,"A",0.629,1,4.47522,0.537994,1.194373,7.674668,"D",0.629,1,5.213,1.243,1.599,9.378,"D",NA,NA,NA,NA,NA,NA,"D",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,6,"",1,"",7.8,NA,9.653,0.656379,0.356,NA,NA
"Big Pine","26","3","3","2","7","3D",7.822,NA,31.386,6.841,14.681,38.748,"A",1.587,1,16.811,3.569,8.151,25.146,"A",3.44,2,28.696,8.48,18.786,44.677,"A",12.549,10,45.793,16.909,43.274,62.16,"A",20.25,11,66.221,26.493,59.709,80.033,1,0,0,0,0,13,"b",1,"",10.4,4.5,7.84,4.582,10.306,26.365,33.216
"Big Pine","27","3","50","9","9","3D",8.447,NA,29.586,5.976,15.457,37.439,"A",8.25,3,39.202,7.492,23.865,45.442,"A",16.011,6,58.295,14.65,53.428,80.36,"A",18.571,8,65.202,18.182,75.387,99.628,"A",38.951,21,127.396,38.319,173.823,170.73,0,0,0,0,0,13,"",0,"",9.6,16.9,9.481,16.373,38.778,57.205,135.504
"Big Pine","28","3","7","3","7","3D",5.03,NA,22.618,4.48,8.075,24.72,"A",0.648,1,5.646824,0.928929,1.784688,9.726249,"A",0.71,1,7.608,1.794,2.478,12.8,"A",1.243,1,12.315,4.689,5.647,20.047,"A",5.534,11,13.577,3.631,6.111,21.122,1,0,0,0,0,13,"b",1,"",6.4,1.2,3.595,0.855759,0.684,0.958,2.48
"Big Pine","29","3","1","1","8","3D",9.247,NA,31.072,7.86,19.136,44.242,"A",11.813,5,44.541,9.051,26.681,51.486,"A",40.627,12,191.947,67.812,328.502,264.21,"A",35.713,18,122.701,37.319,171.472,168.739,"A",50.885,25,179.128,55.561,235.557,203.666,0,0,0,0,0,13,"",0,"",10,34.8,11.276,17.63,260.69,134.153,179.996
"Big Pine","30","3","36","6","8","3D",5.009,NA,18.91,3.429,6.882,23.193,"A",0.887,1,8.597,2.396,3.083,13.811,"A",1.03,1,14.468,4.304,6.057,24.041,"A",1.046,1,19.89,7.078,9.68,35.008,"A",8.971,8,27.628,6.344,18.003,43.984,1,0,0,0,0,13,"b",1,"",6,2,3.453,0.687,1.753,2.602,11.659
"Dave's Ledge","1","1","50","9","20","hand",8,NA,30.8839,7.63434,16.8623,38.5776,"A",7.807,3,40.135,13.343,29.217,53.402,"A",20.928,13,82.091,24.941,87.242,107.421,"A",21.478,13,88.641,24.549,91.032,109.235,"A",50.884,18,203.983,72.006,284.433,244.774,0,0,0,0,0,13,"",0,"",8,20.9,9.22796,15.874,62.301,66.483,212.427
"Dave's Ledge","2","1","3","2","20","3D",11.808,NA,49.15,12.628,33.082,60.339,"A",0.798,1,9.139539,2.262797,3.353125,15.65993,"A",2.407,3,17.953,5.484,8.704,28.997,"A",2.994,2,17.6,6.358,9.531,29.292,"A",12.558,9,45.275,15.423,32.718,57.098,1,0,0,0,0,13,"b",1,"",11.4,2.9,20.454,1.090328,3.22,3.173,17.295
"Dave's Ledge","3","1","31","5","16","hand",10,NA,37.2725,9.49284,22.5807,46.6044,"A",22.875,13,66.358,16.047,76.439,99.474,"A",41.397,10,129.003,31.175,272.951,225.537,"A",2.709,2,18.607,6.405,9.806,30.55,"A",5.585,7,25.609,6.012,16.225,38.582,0,0,1,0,0,13,"b",1,"",10,40.7,13.08786,60.392,241.776,3.401,10.213
"Dave's Ledge","4","1","44","8","20","hand",6,NA,24.4953,5.77584,11.1439,30.5508,"A",1.16,1,12.135345,3.329753,5.027143,18.672577,"A",4.227,3,24.928,7.424,14.978,39.058,"A",5.351,4,30.082,9.13,18.743,43.902,"A",17.76,12,70.29,20.467,55.57,80.539,1,0,0,0,0,13,"",1,"",NA,4.8,5.36806,1.69739,7.554,9.613,35.103
"Dave's Ledge","5","1","1","1","18","3D",15.385,NA,47.091,10.443,29.162,54.106,"A",20.703,9,68.722,17.117,67.344,91.118,"A",33.378,13,106.217,29.983,126.257,137.32,"A",49.953,21,148.66,38.45,197.842,181.765,"A",84.104,29,284.227,70.564,458.475,313.378,1,0,0,0,0,13,"",1,"",15.4,33.2,18.719,50.227,96.274,159.392,387.911
"Dave's Ledge","6","1","7","3","18","3D",6.218,NA,22.789,5.052,8.854,25.618,"A",14.403,9,44.71,12.241,39.975,65.514,"A",23.351,9,74.204,21.461,102.872,119.717,"A",28.931,15,104.079,28.71,131.127,138.274,"A",34.576,15,142.187,46.206,184.587,173.419,0,0,0,0,0,13,"",0,"",5.2,25.4,3.802,27.734,81.411,102.417,138.381
"Dave's Ledge","7","1","36","6","20","3D",10.274,NA,36.687,9.987,22.518,51.555,"A",9.964,7,37.654,12.919,24.932,47.487,"A",16.767,8,64.78,22.004,66.703,91.67,"A",25.485,15,91.144,35.525,102.966,119.88,"A",54.581,21,192.877,63.136,313.207,255.831,1,0,0,0,0,13,"",1,"",10.1,18.5,12.531,12.013,44.699,67.441,250.071
"Dave's Ledge","8","1","41","7","18","3D",14.141,NA,38.263,9.484,27.213,53.411,"A",18.381,8,54.457,13.495,52.711,78.915,"A",29.397,9,99.191,26.752,137.017,145.642,"A",7.323,3,30.222,7.849,22.233,49.543,"A",16.511,11,53.787,13.954,53.435,85.08,0,0,1,0,0,13,"",1,"",15.1,27.4,17.729,39.216,110.265,14.384,39.481
"Dave's Ledge","9","1","13","4","19","3D",8.689,NA,34.369,7.068,15.111,38.65,"A",0.670999,1,7.892028,1.91831,2.950651,13.584088,"A",1.265,1,12.011,3.825,5.099,20.548,"A",2.664,3,12.461,4.46,5.917,20.925,"A",7.587,10,22.196,6.916,13.104,33.898,1,0,0,0,0,13,"b",1,"",10.7,1.2,8.043,1.032341,1.274,1.457,6.188
"Dave's Ledge","10","1","62","10","10","3D",3.461,NA,18.609,4.409,8.127,23.009,"A",8.206,8,27.851,8.437,16.757,37.168,"A",11.309,7,44.29,15.851,40.617,65.96,"A",11.345,6,55.561,17.233,52.454,77.912,"M",NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,"",1,"",4.5,13,3.718,8.32,24.766,35.221,NA
"Dave's Ledge","11","2","1","1","20","3D",5.404,NA,16.816,3.931,6.951,21.831,"A",12.368,8,35.963,9.638,33.128,57.815,"A",22.075,8,77.906,19.342,104.986,119.438,"A",2.449,2,23.983,8.374,16.239,43.653,"A",9.763,8,39.427,7.738,23.635,46.776,0,0,1,0,0,13,"b",1,"",5.6,26.2,3.02,23.49,85.644,7.865,15.897
"Dave's Ledge","12","2","7","3","16","3D",6.865,NA,30.114,6.828,11.973,32.613,"A",11.863,5,50.805,14.267,39.172,70.768,"A",22.334,7,85.799,24.992,138.355,148.551,"A",32.164,11,129.189,33.629,266.224,225.287,"A",46.475,15,227.261,68.313,493.461,329.984,0,0,0,0,0,13,"",0,"",8.1,24,5.145,24.905,113.363,232.595,425.148
"Dave's Ledge","13","2","3","2","18","3D",6.54,NA,35.297,10.51,19.41,43.559,"A",9.565,6,42.212,11.835,31.924,60.163,"A",21.741,7,95.445,36.822,135.169,145.348,"A",17.655,9,78.697,25.87,102.3,125.313,"A",22.778,12,97.707,32.954,119.956,137.174,0,0,0,0,0,13,"",0,"",8.1,15.2,8.9,20.089,98.347,76.43,87.002
"Dave's Ledge","14","2","62","10","18","3D",5.826,NA,29.057,8.794,17.328,40.397,"M",NA,NA,NA,NA,NA,NA,"M",NA,NA,NA,NA,NA,NA,"M",NA,NA,NA,NA,NA,NA,"M",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"",0,"",6.5,NA,8.534,NA,NA,NA,NA
"Dave's Ledge","15","2","31","5","18","hand",7.7,NA,29.92561,7.355565,16.00454,37.37358,"A",12.696,9,41.365,9.837,29.676,58.549,"A",0.551,1,14.693,3.432,5.021,24.935,"A",4.837,3,21.413,8.289,11.89,37.452,"A",12.194,9,40.772,16.737,30.346,56.592,0,1,0,0,0,13,"b",1,"",7.7,1.1,8.648975,19.839,1.589,3.601,13.609
"Dave's Ledge","16","2","41","7","28"," 3D",7.41,NA,25.74,5.004,14.563,36.412,"A",10.886,5,31.058,6.934,19.625,43.637,"A",11.739,4,42.847,12.469,35.585,62.975,"A",14.08,6,56.329,20.307,55.538,83.903,"A",20.644,11,69.757,20.448,72.044,97.784,0,0,0,0,0,13,"",0,"",10.5,10.5,9.559,12.691,23.116,35.231,51.596
"Dave's Ledge","17","2","44","8","19","hand",7.7,NA,29.92561,7.355565,16.00454,37.37358,"A",1.073,1,10.688,3.896,5.074,17.937,"A",3.688,3,18.157,5.262,9.874,28.42,"A",4.722,3,29.964,10.678,22.122,48.154,"A",11.792,7,54.596,15.218,48.698,75.931,1,0,0,0,0,13,"b",1,"",NA,4.2,8.648975,1.178,4.612,11.444,33.48
"Dave's Ledge","18","2","13","4","21","3D",8.141,NA,20.493,4.874,8.777,27.886,"A",10.895,4,36.577,10.82,28.051,55.771,"A",16.853,7,59.476,14.737,77.16,104.616,"A",15.409,8,65.759,20.235,81.301,104.805,"A",30.24,13,111.514,30.253,177.403,171.273,0,0,1,0,0,13,"",1,"",7.7,15.8,3.903,17.231,62.423,61.066,147.15
"Dave's Ledge","19","2","50","9","17","hand",7.1,NA,28.00903,6.798015,14.28902,34.96554,"A",3.5,1,21.902,6.37,11.803,30.228,"A",12.296,7,50.486,15.266,55.126,80.805,"A",18.797,11,84.179,30.442,114.174,130.02,"A",35.294,21,124.442,36.902,159.621,154.515,1,0,0,0,0,13,"",1,"",7.1,12.5,7.491005,5.433,39.86,83.732,122.719
"Dave's Ledge","20","2","36","6","17","3D",5.461,NA,21.214,5.699,9.747,28.031,"A",2.945,1,20.859,6.987,10.621,27.833,"A",8.413,6,36.104,11.637,30.223,54.857,"A",12.953,8,57.46,22.373,60.109,86.004,"A",23.032,10,91.851,28.904,105.686,123.036,1,0,0,0,0,13,"",1,"",5.5,8.7,4.048,3.634,18.586,37.736,76.782
"Dave's Ledge","21","3","62","10","19","3D",9.509,NA,32.01,8.781,15.137,38.601,"A",0.529115,1,8.046155,1.412107,2.476216,12.726713,"D",2.981,2,8.821,1.888,2.91,10.942,"D",NA,NA,NA,NA,NA,NA,"D",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,6,"",1,"",10.3,NA,6.356,1.064109,1.022,NA,NA
"Dave's Ledge","22","3","36","6","19","3D",5.869,NA,18.712,5.324,7.406,22.817,"A",6.784,2,33.047,12.071,19.518,43.053,"A",9.598,4,45.975,17.954,44.436,73.893,"A",16.096,10,68.977,26.281,74.269,101.694,"M",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,"",0,"",5.8,9.8,2.082,7.447,26.482,47.988,NA
"Dave's Ledge","23","3","3","2","19","3D",5.492,NA,27.963,7.369,11.269,30.889,"A",0.698473,1,11.010386,2.056442,3.387059,17.349745,"A",2.549,3,16.876,4.162,7.769,30.318,"A",5.222,6,19.685,5.738,10.04,32.469,"A",11.006,7,46.232,10.127,30.348,56.532,0,0,0,0,0,13,"b",0,"",6,3.1,3.9,1.330617,3.607,4.302,20.221
"Dave's Ledge","24","3","44","8","21","3D",5.017,NA,24.421,4.982,13.072,35.29,"A",0.628,1,8.84,1.851,2.771,14.392,"A",0.786,1,12.679,4.175,5.356,23.213,"A",6.651,9,25.078,7.584,14.779,38.693,"A",13.853,9,52.536,12.586,35.322,60.611,1,0,0,0,0,13,"b",1,"",6.3,2.9,8.09,0.92,1.181,7.195,22.736
"Dave's Ledge","25","3","50","9","21","hand",8.6,NA,32.80048,8.19189,18.57782,40.98564,"D",0,NA,NA,NA,NA,NA,"D",NA,NA,NA,NA,NA,NA,"D",NA,NA,NA,NA,NA,NA,"D",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,3,"",1,"",8.6,NA,10.38593,NA,NA,NA,NA
"Dave's Ledge","26","3","31","5","17","hand",6.6,NA,26.41188,6.33339,12.85942,32.95884,"A",16.933,9,54.758,12.845,48.839,78.623,"A",1.295,1,12.001,3.9,5.556,20.704,"A",4.602,6,15.064,4.609,7.093,22.536,"D",7.385,9,21.382,4.249,10.961,28.14,0,1,0,0,1,12,"",1,"bleached",6.6,2.3,6.52603,35.994,1.656,2.484,6.712
"Dave's Ledge","27","3","13","4","20","3D",4.764,NA,19.158,3.055,6.258,21.436,"D",0,NA,NA,NA,NA,NA,"D",0.093,1,2.322,0.201,0.467,4.807,"D",NA,NA,NA,NA,NA,NA,"D",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,3,"",1,"",6.9,NA,3.203,NA,0.266,NA,NA
"Dave's Ledge","28","3","1","1","19","3D",3.969,NA,16.921,4.808,7.424,22.177,"A",6.38,5,32.156,8.957,19.612,41.674,"M",NA,NA,NA,NA,NA,NA,"M",NA,NA,NA,NA,NA,NA,"M",NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,"",1,"",4.6,6.1,2.616,10.655,NA,NA,NA
"Dave's Ledge","29","3","7","3","17","3D",7.818,NA,25.794,6.206,10.966,29.263,"A",12.069,5,45.598,12.591,33.734,59.669,"A",11.249,5,48.263,17.395,46.02,72.381,"A",12.901,7,61.274,21.446,68.139,93.538,"A",NA,NA,NA,NA,NA,NA,0,0,0,NA,0,13,"",0,"",7.4,11.7,4.76,21.143,28.625,46.693,NA
"Dave's Ledge","30","3","41","7","17","3D",11.316,NA,28.502,6.794,16.764,39.918,"A",15.392,6,49.706,10.844,41.158,70.448,"A",0.816,1,11.796,3.684,4.976,21.727,"A",2.417,3,15.713,4.923,7.482,27.567,"A",5.3,7,14.495,3.314,6.316,22.015,0,1,0,0,0,13,"b",1,"",11.7,1.5,9.97,30.314,1.292,2.559,3.002
"E. Sambo","1","1","41","7","12","3D",7.254,NA,24.917,6.83,10.346,30.63,"A",1.002,1,8.613,1.919,3.142,13.369,"A",1.324,1,14.368,3.458,5.773,21.847,"A",1.1,1,12.776,3.208,5.222,21.176,"A",3.246,4,20.597,4.504,9.872,30.526,1,0,0,0,0,13,"b",1,"",7.6,2,3.516,1.223,2.315,2.014,5.368
"E. Sambo","2","1","1","1","11","3D",18.308,NA,55.162,15.327,41.144,63.908,"A",30.211,14,87.001,20.269,90.078,106.367,"A",33.868,13,146.715,42.678,160.666,158.086,"A",45.451,21,168.428,55.702,202.716,180.971,"A",96.71,36,376.313,140.272,541.46,340.877,0,0,0,0,0,13,"",0,"",17,32,25.817,69.809,117.988,147.014,401.188
"E. Sambo","3","1","31","5","12","hand",10.3,NA,38.23079,9.771615,23.43846,47.80842,"D",0,NA,NA,NA,NA,NA,"D",NA,NA,NA,NA,NA,NA,"D",NA,NA,NA,NA,NA,NA,"D",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,3,"",1,"",10.3,NA,13.666845,NA,NA,NA,NA
"E. Sambo","4","1","3","2","14","hand",6.9,NA,27.37017,6.612165,13.71718,34.16286,"A",10.542,5,44.83,11.071,34.997,63.481,"A",16.627,8,77.33,21.158,80.237,106.569,"A",26.488,16,93.776,27.245,124.771,136.934,"A",74.218,23,261.85,85.484,520.215,334.368,0,0,0,0,0,13,"",0,"",6.9,14,7.105015,23.926,59.079,97.526,434.731
"E. Sambo","5","1","44","8","13","3D",5.018,NA,22.387,4.095,8.164,24.88,"A",7.374,4,30.658,8.389,19.638,41.802,"A",8.005,3,45.551,15.589,43.634,72.016,"A",15.65,11,65.079,22.776,67.076,91.968,"A",37.199,21,140.53,63.447,184.434,175.912,0,0,0,0,0,13,"",0,"",5.4,7.3,4.069,11.249,28.045,44.3,120.987
"E. Sambo","6","1","62","10","12","3D",9.696,NA,35.646,12.048,25.899,51.325,"A",12.118,5,52.308,17.984,41.387,70.477,"A",12.345,6,55.788,23.105,51.142,79.802,"A",20.443,10,83.046,31.157,87.581,111.082,"A",34.388,15,125.36,48.084,185.533,180.99,0,0,0,0,0,13,"",0,"",9.8,14.8,13.851,23.403,28.037,56.424,137.449
"E. Sambo","7","1","13","4","11","hand",6.1,NA,24.81473,5.868765,11.42982,30.95214,"A",2.243,1,13.068,2.211,4.708,15.886,"A",2.525,1,15.233,3.821,7.767,22.696,"A",8.064,7,28.203,7.487,16.716,35.939,"A",16.057,10,47.755,12.982,37.165,60.504,1,0,0,0,0,13,"b",1,"",6.1,2.8,5.561055,2.497,3.946,9.229,24.183
"E. Sambo","8","1","7","3","12","3D",11.972,NA,46.753,10.807,25.238,51.304,"A",12.346,4,51.509,15.024,43.962,73.141,"A",24.245,6,75.491,24.259,78.699,105.292,"A",23.445,13,102.987,38.74,132.032,143.529,"A",47.199,21,184.681,71.068,294.109,238.129,1,0,0,0,0,13,"",1,"",13,17.7,14.431,28.938,54.44,93.292,223.041
"E. Sambo","9","1","36","6","13","3D",7.704,NA,31.513,10.776,17.923,40.501,"A",13.026,4,60.943,17.787,45.975,78.785,"A",18.482,6,96.349,33.858,112.651,135.512,"A",21.247,8,97.875,34.887,121.678,139.47,"A",40.746,14,165.746,60.072,299.819,250.429,0,0,0,0,0,13,"",0,"",7.3,21.8,7.147,28.188,78.793,86.791,239.747
"E. Sambo","10","1","50","9","10","3D",5.616,NA,21.37,3.465,8.238,27.198,"A",14.256,6,46.717,8.828,31.062,64.103,"A",2.890031,2,23.525,5.803,13.326,33.819,"A",9.224,8,36.168,8.936,23.004,45.714,"A",15.621,12,70.699,15.234,47.428,70.592,0,1,0,0,0,13,"b",1,"",6.1,2.3,4.773,22.234,7.523,14.068,32.194
"E. Sambo","11","2","3","2","11","3D",9.254,NA,60.322,13.375,36.989,66.947,"A",18.354,9,63.26,13.585,63.712,90.394,"A",30.093,8,112.133,25.807,167.689,168.669,"A",34.936,13,138.258,45.007,208.483,198.177,"A",32.705,17,182.845,51.168,246.561,213.609,0,0,0,0,0,13,"",0,"",11.7,33.8,23.614,50.127,141.882,163.476,195.393
"E. Sambo","12","2","44","8","15","3D",9.618,NA,35.863,9.603,22.152,51.685,"A",16.806,8,61.926,16.117,61.952,94.777,"A",20.333,9,81.919,20.362,103.275,124.862,"A",1.522,1,24.017,9.352,14.225,42.597,"A",7.339,12,44.032,13.141,23.986,50.69,0,0,1,0,0,13,"b",1,"",9.6,24.2,12.549,45.835,82.913,4.873,10.845
"E. Sambo","13","2","7","3","10","3D",8.32,NA,42.033,6.521,16.453,39.379,"A",14.533,4,54.802,15.205,41.92,72.096,"A",18.927,4,90.849,27.234,105.986,128.184,"A",38.699,19,151.293,55.29,234.718,210.051,"A",58.668,26,207.725,71.74,295.889,239.347,0,0,0,0,0,13,"",0,"",10.2,20.5,9.932,26.715,78.752,179.428,224.149
"E. Sambo","14","2","36","6","11","3D",10.165,NA,34.572,8.567,23.391,48.934,"A",12.884,4,51.937,12.482,43.049,72.569,"A",20.047,5,89.507,22.984,117.189,139.698,"A",29.807,12,151.01,72.087,231.777,211.955,"A",37.488,16,181.0306,70.403,329.649,258.254,0,0,0,0,0,13,"",0,"",12.4,21,14.824,30.567,94.205,159.69,259.246
"E. Sambo","15","2","41","7","11","3D",7.495,NA,21.944,4.529,11.408,32.426,"M",NA,NA,NA,NA,NA,NA,"M",NA,NA,NA,NA,NA,NA,"M",NA,NA,NA,NA,NA,NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,"",11.7,NA,6.879,NA,NA,NA,NA
"E. Sambo","16","2","1","1","12","3D",5.718,NA,21.904,5.323,8.334,26.142,"A",5.921,1,30.15,7.923,20.351,45.401,"M",NA,NA,NA,NA,NA,NA,"M",NA,NA,NA,NA,NA,NA,"M",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"",0,"",6.4,NA,3.011,12.428,NA,NA,NA
"E. Sambo","17","2","31","5","11","hand",13.3,NA,47.81369,12.559365,32.01606,59.84862,"A",2.231,1,13.0985,3.142,5.102,16.873,"A",5.563,5,19.44,3.952,11.34,27.743,"A",29.592,13,111.258,36.504,191.43,105.369,"A",1.553,1,15.2,3.506,6.161,23.387,1,0,0,1,0,13,"b",2,"",13.3,5,19.456695,1.96,7.388,154.926,2.655
"E. Sambo","18","2","13","4","12","hand",4.1,NA,18.42613,4.010265,5.71142,22.92534,"A",23.673,11,74.897,14.05,94.529,119.52,"A",30.797,11,99.82,22.564,178.298,177.551,"A",7.805,8,28.715,6.869,22.225,43.513,"A",9.441,8,41.803,9.742,30.079,55.618,0,0,1,0,0,13,"",1,"",4.1,23.5,1.701155,80.479,155.734,15.356,20.337
"E. Sambo","19","2","50","9","12","hand",9.7,NA,36.31421,9.214065,21.72294,45.40038,"A",1.017,1,7.331,2.036,2.841,12.433,"A",3.293,4,15.43,3.845,7.261,22.552,"A",6.838,6,23.024,6.958,14.126,33.36,"A",6.611,7,24.613,5.72,12.467,29.921,1,0,0,0,0,13,"b",1,"",9.7,2,12.508875,0.805,3.416,7.168,6.747
"E. Sambo","20","2","62","10","13","3D",8.193,NA,36.241,11.039,17.518,44.824,"A",12.854,7,57.505,15.404,49.443,81.686,"A",23.365,9,100.028,29.791,139.942,154.278,"A",1.455,1,32.568,15.124,24.624,60.843,"A",2.745,3,63.011,34.23,49.079,77.953,0,0,1,0,0,13,"b",1,"",8.8,25.9,6.479,34.039,110.151,9.5,14.849
"E. Sambo","21","3","13","4","13","hand",8.9,NA,33.75877,8.470665,19.43558,42.18966,"A",13.906,8,44.784,9.443,39.701,69.289,"A",20.188,11,54.783,13.351,55.517,85.484,"A",30.687,19,84.378,18.106,120.47,134.301,"A",41.521,18,157.606,38.991,243.194,204.971,0,0,0,0,0,13,"",0,"",8.9,22.3,10.964915,30.258,42.166,102.364,204.203
"E. Sambo","22","3","36","6","12","3D",4.389,NA,17.229,4.179,7.462,22.498,"A",5.363,1,31.83,8.219,20.012,43.621,"A",7.4329,4,50.014,16.858,54.759,85.277,"A",12.865,8,69.679,30.716,76.401,99.763,"A",15.353,11,102.524,54.452,126.384,138.596,0,0,0,0,0,13,"",0,"",5.5,5,3.283,11.793,37.901,45.685,71.932
"E. Sambo","23","3","31","5","10","3D",9.805,NA,37.138,10.547,19.063,42.948,"A",24.589,10,77.966,16.511,94.427,115.716,"A",35.596,11,120.281,33.795,183.611,178.622,"A",34.74,15,110.354,30.251,175.494,171.161,"A",58.387,31,175.118,40.694,322.18,254.796,0,0,0,0,0,13,"",0,"",5.3,32.3,8.516,77.916,149.816,145.243,281.486
"E. Sambo","24","3","62","10","14","3D",5.327,NA,20.911,5.671,9.368,26.521,"A",9.684,4,41.295,10.196,27.164,55.009,"A",16.77,8,67.478,21.42,84.429,112.425,"A",21.865,11,96.677,31.312,131.668,142.392,"A",48.391,25,204.805,89.427,315.414,245.853,0,0,0,0,0,13,"",0,"",6.2,12.7,3.697,16.968,63.009,100.356,225.987
"E. Sambo","25","3","50","9","11","hand",6.4,NA,25.77302,6.14754,12.28758,32.15616,"A",12.1764,8,54.835,13.597,44.465,71.626,"A",22.948,10,94.298,31.875,119.672,134.696,"A",36.796,19,126.221,45.103,172.787,168.483,"A",65.346,27,211.64,91.493,365.573,268.492,0,0,0,0,0,13,"",0,"",6.4,17,6.14004,30.868,87.797,127.684,274.08
"E. Sambo","26","3","41","7","13","3D",8.339,NA,21.936,5.268,11.004,29.584,"A",6.41,3,26.62,5.776,13.817,32.54,"A",10.702,5,36.026,9.51,29.638,54.311,"A",13.624,7,45.7332,10.924,42.544,67.264,"A",20.041,11,59.106,16.273,65.362,88.563,1,0,0,0,0,13,"",1,"",11.3,10.2,5.736,8.041,20.128,31.62,49.089
"E. Sambo","27","3","3","2","10","3D",5.565,NA,23.1057795,5.37161625,9.147,28.6,"A",12.033,7,42.653,9.522,31.489,60.92,"A",19.796,11,66.012,18.033,76.056,106.216,"A",1.5,1,NA,NA,NA,NA,"A",6.928,7,50.114,26.202,42.527,69.542,0,0,0,1,0,13,"b",1,"",7.6,22.6,3.77538375,21.967,58.023,NA,16.325
"E. Sambo","28","3","1","1","13","3D",13.008,NA,40.764,10.968,28.369,54.321,"A",18.555,10,64.449,16.943,60.013,83.95,"A",30.277,13,98.512,29.423,141.631,145.341,"A",41.991,21,139.156,31.252,173.543,162.375,"A",57.105,28,207.44,64.148,292.168,228.076,0,0,0,0,0,13,"",0,"",13.3,25.8,17.401,43.07,112.208,142.291,228.02
"E. Sambo","29","3","7","3","11","3D",8.118,NA,33.176,7.223,14.18,36.574,"A",10.382593,4,44.362431,13.259139,29.17486,57.33276,"A",18.336,7,66.27,21.48,73.219,102.965,"A",28.296,17,94.395,29.409,112.553,130.97,"A",54.356,23,180.056,51.166,294.289,232.836,0,0,0,0,0,13,"",0,"",9.5,18.5,6.957,15.915721,51.739,83.144,243.123
"E. Sambo","30","3","44","8","14","3D",9.166,NA,38.033,8.62,20.252,45.443,"A",15.21767,5,60.669365,15.425859,68.712509,96.617523,"A",21.262,6,93.736,30.643,159.465,162.529,"A",31,12,NA,NA,NA,NA,"A",61.868,27,225.679,101.759,468.245,322.48,0,0,0,0,0,13,"",0,"",10.4,20.9,11.632,53.28665,128.822,NA,366.486
"EDR","1","1","3","2","27","3D",4.693,NA,19.098,3.019,6.524,22.007,"A",10.1,6,31.50074,10.265394,22.797587,46.48794,"A",4.619,3,25.857,5.942,17.995,40.541,"A",9.606,7,38.527,7.915,30.608,54.427,"A",25.649,11,102.569,19.507,97.31,115.849,0,1,0,0,0,13,"",1,"",6.8,5,3.505,NA,12.053,22.693,77.803
"EDR","2","1","1","1","29","3D",11.568,NA,36.845,7.89,24.318,50.998,"A",20.3,9,59.05502,18.39765,60.376325,86.00682,"A",40.145,13,136.949,32.628,224.121,205.164,"A",55.8576,22,161.608,44.345,304.3131,247.058,"M",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,"",0,"",11.7,39,16.428,NA,191.493,259.9681,NA
"EDR","3","1","41","7","19","3D",8.698,NA,33.1135214,8.2829565,18.8580216,41.3789532,"D",0,NA,4.2166,2.212866,-6.94964,7.3565,"D",NA,NA,NA,NA,NA,NA,"D",NA,NA,NA,NA,NA,NA,"D",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,3,"",1,"",8,NA,10.5750651,NA,NA,NA,NA
"EDR","4","1","31","5","27","3D",6.646,NA,23.408,6.535,10.082,29.081,"A",2.1,1,9.88954,3.887154,-1.376093,15.49274,"A",3.247,1,19.955,5.695,11.449,29.419,"A",7.297,6,17.815,3.605,9.089,23.451,"A",12.035,8,29.855,5.635,23.376,44.04,1,0,0,0,0,13,"",1,"",7,4.1,3.547,NA,5.754,5.484,17.741
"EDR","5","1","7","3","28","3D",10.097,NA,40.458,9.646,22.884,48.548,"A",13.1,4,39.60494,12.657234,33.063917,58.11114,"A",15.373,4,62.457,24.07,46.667,71.666,"A",19.255,7,66.352,17.915,52.311,79.441,"A",24.765,13,67.688,16.75,63.834,89.095,0,0,0,0,0,13,"",0,"partial mortality",11.6,19.8,13.238,NA,22.597,34.396,47.084
