Site,Tag,Array,Genotype,NurseyGroup,FragID,T0_Method,T0_TLE,T0_NumBranch,T0_SA,T0_V,T0_Vcx,T0_SAcx,T3_Status,T3_TLE,T3_NumBranch,T3_SA,T3_V,T3_Vcx,T3_SAcx,T6_Status,T6_TLE,T6_NumBranch,T6_SA,T6_V,T6_Vcx,T6_SAcx,T9_Status,T9_TLE,T9_NumBranch,T9_SA,T9_V,T9_Vcx,T9_SAcx,T12_Status,T12_TLE,T12_NumBranch,T12_SA,T12_V,T12_Vcx,T12_SAcx,T3_Break,T6_Break,T9_Break,T12_Break,T12_Dead,T12_TOD,SevereBreak,CulumativeBreaks,,T0_FieldTLE,T6_FieldTLE
Big Pine,29,3,1,1,8,3D,9.247,,31.072,7.86,19.136,44.242,A,11.813,5,44.541,9.051,26.681,51.486,A,40.627,12,191.947,67.812,328.502,264.21,A,35.713,18,122.701,37.319,171.472,168.739,A,50.885,25,179.128,55.561,235.557,203.666,0,0,0,0,0,13,,0,,10,34.8
Big Pine,30,3,36,6,8,3D,5.009,,18.91,3.429,6.882,23.193,A,0.887,1,8.597,2.396,3.083,13.811,A,1.03,1,14.468,4.304,6.057,24.041,A,1.046,1,19.89,7.078,9.68,35.008,A,8.971,8,27.628,6.344,18.003,43.984,1,0,0,0,0,13,b,1,,6,2
Dave's Ledge,1,1,50,9,20,hand,8,,,,,,A,7.807,3,40.135,13.343,29.217,53.402,A,20.928,13,82.091,24.941,87.242,107.421,A,21.478,13,88.641,24.549,91.032,109.235,A,50.884,18,203.983,72.006,284.433,244.774,0,0,0,0,0,13,,0,,8,20.9
Dave's Ledge,2,1,3,2,20,3D,11.808,,49.15,12.628,33.082,60.339,A,0.798,1,9.139539,2.262797,3.353125,15.65993,A,2.407,3,17.953,5.484,8.704,28.997,A,2.994,2,17.6,6.358,9.531,29.292,A,12.558,9,45.275,15.423,32.718,57.098,1,0,0,0,0,13,b,1,,11.4,2.9
Dave's Ledge,3,1,31,5,16,hand,10,,,,,,A,22.875,13,66.358,16.047,76.439,99.474,A,41.397,10,129.003,31.175,272.951,225.537,A,2.709,2,18.607,6.405,9.806,30.55,A,5.585,7,25.609,6.012,16.225,38.582,0,0,1,0,0,13,b,1,,10,40.7
Dave's Ledge,4,1,44,8,20,hand,6,,,,,,A,1.16,1,12.135345,3.329753,5.027143,18.672577,A,4.227,3,24.928,7.424,14.978,39.058,A,5.351,4,30.082,9.13,18.743,43.902,A,17.76,12,70.29,20.467,55.57,80.539,1,0,0,0,0,13,,1,,,4.8
Dave's Ledge,5,1,1,1,18,3D,15.385,,47.091,10.443,29.162,54.106,A,20.703,9,68.722,17.117,67.344,91.118,A,33.378,13,106.217,29.983,126.257,137.32,A,49.953,21,148.66,38.45,197.842,181.765,A,84.104,29,284.227,70.564,458.475,313.378,1,0,0,0,0,13,,1,,15.4,33.2
Dave's Ledge,6,1,7,3,18,3D,6.218,,22.789,5.052,8.854,25.618,A,14.403,9,44.71,12.241,39.975,65.514,A,23.351,9,74.204,21.461,102.872,119.717,A,28.931,15,104.079,28.71,131.127,138.274,A,34.576,15,142.187,46.206,184.587,173.419,0,0,0,0,0,13,,0,,5.2,25.4
Dave's Ledge,7,1,36,6,20,3D,10.274,,36.687,9.987,22.518,51.555,A,9.964,7,37.654,12.919,24.932,47.487,A,16.767,8,64.78,22.004,66.703,91.67,A,25.485,15,91.144,35.525,102.966,119.88,A,54.581,21,192.877,63.136,313.207,255.831,1,0,0,0,0,13,,1,,10.1,18.5
Dave's Ledge,8,1,41,7,18,3D,14.141,,38.263,9.484,27.213,53.411,A,18.381,8,54.457,13.495,52.711,78.915,A,29.397,9,99.191,26.752,137.017,145.642,A,7.323,3,30.222,7.849,22.233,49.543,A,16.511,11,53.787,13.954,53.435,85.08,0,0,1,0,0,13,,1,,15.1,27.4
Dave's Ledge,9,1,13,4,19,3D,8.689,,34.369,7.068,15.111,38.65,A,0.670999,1,7.892028,1.91831,2.950651,13.584088,A,1.265,1,12.011,3.825,5.099,20.548,A,2.664,3,12.461,4.46,5.917,20.925,A,7.587,10,22.196,6.916,13.104,33.898,1,0,0,0,0,13,b,1,,10.7,1.2
Dave's Ledge,10,1,62,10,10,3D,3.461,,18.609,4.409,8.127,23.009,A,8.206,8,27.851,8.437,16.757,37.168,A,11.309,7,44.29,15.851,40.617,65.96,A,11.345,6,55.561,17.233,52.454,77.912,M,,,,,,,1,0,0,,,,,1,,4.5,13
Dave's Ledge,11,2,1,1,20,3D,5.404,,16.816,3.931,6.951,21.831,A,12.368,8,35.963,9.638,33.128,57.815,A,22.075,8,77.906,19.342,104.986,119.438,A,2.449,2,23.983,8.374,16.239,43.653,A,9.763,8,39.427,7.738,23.635,46.776,0,0,1,0,0,13,b,1,,5.6,26.2
Dave's Ledge,12,2,7,3,16,3D,6.865,,30.114,6.828,11.973,32.613,A,11.863,5,50.805,14.267,39.172,70.768,A,22.334,7,85.799,24.992,138.355,148.551,A,32.164,11,129.189,33.629,266.224,225.287,A,46.475,15,227.261,68.313,493.461,329.984,0,0,0,0,0,13,,0,,8.1,24
Dave's Ledge,13,2,3,2,18,3D,6.54,,35.297,10.51,19.41,43.559,A,9.565,6,42.212,11.835,31.924,60.163,A,21.741,7,95.445,36.822,135.169,145.348,A,17.655,9,78.697,25.87,102.3,125.313,A,22.778,12,97.707,32.954,119.956,137.174,0,0,0,0,0,13,,0,,8.1,15.2
Dave's Ledge,14,2,62,10,18,3D,5.826,,29.057,8.794,17.328,40.397,M,,,,,,,M,,,,,,,M,,,,,,,M,,,,,,,0,,,,,,,0,,6.5,
Dave's Ledge,15,2,31,5,18,hand,7.7,,,,,,A,12.696,9,41.365,9.837,29.676,58.549,A,0.551,1,14.693,3.432,5.021,24.935,A,4.837,3,21.413,8.289,11.89,37.452,A,12.194,9,40.772,16.737,30.346,56.592,0,1,0,0,0,13,b,1,,7.7,1.1
Dave's Ledge,16,2,41,7,28, 3D,7.41,,25.74,5.004,14.563,36.412,A,10.886,5,31.058,6.934,19.625,43.637,A,11.739,4,42.847,12.469,35.585,62.975,A,14.08,6,56.329,20.307,55.538,83.903,A,20.644,11,69.757,20.448,72.044,97.784,0,0,0,0,0,13,,0,,10.5,10.5
Dave's Ledge,17,2,44,8,19,hand,7.7,,,,,,A,1.073,1,10.688,3.896,5.074,17.937,A,3.688,3,18.157,5.262,9.874,28.42,A,4.722,3,29.964,10.678,22.122,48.154,A,11.792,7,54.596,15.218,48.698,75.931,1,0,0,0,0,13,b,1,,,4.2
Dave's Ledge,18,2,13,4,21,3D,8.141,,20.493,4.874,8.777,27.886,A,10.895,4,36.577,10.82,28.051,55.771,A,16.853,7,59.476,14.737,77.16,104.616,A,15.409,8,65.759,20.235,81.301,104.805,A,30.24,13,111.514,30.253,177.403,171.273,0,0,1,0,0,13,,1,,7.7,15.8
Dave's Ledge,19,2,50,9,17,hand,7.1,,,,,,A,3.5,1,21.902,6.37,11.803,30.228,A,12.296,7,50.486,15.266,55.126,80.805,A,18.797,11,84.179,30.442,114.174,130.02,A,35.294,21,124.442,36.902,159.621,154.515,1,0,0,0,0,13,,1,,7.1,12.5
Dave's Ledge,20,2,36,6,17,3D,5.461,,21.214,5.699,9.747,28.031,A,2.945,1,20.859,6.987,10.621,27.833,A,8.413,6,36.104,11.637,30.223,54.857,A,12.953,8,57.46,22.373,60.109,86.004,A,23.032,10,91.851,28.904,105.686,123.036,1,0,0,0,0,13,,1,,5.5,8.7
Dave's Ledge,21,3,62,10,19,3D,9.509,,32.01,8.781,15.137,38.601,A,0.529115,1,8.046155,1.412107,2.476216,12.726713,D,2.981,2,8.821,1.888,2.91,10.942,D,,,,,,,D,,,,,,,1,,,,1,6,,1,,10.3,
Dave's Ledge,22,3,36,6,19,3D,5.869,,18.712,5.324,7.406,22.817,A,6.784,2,33.047,12.071,19.518,43.053,A,9.598,4,45.975,17.954,44.436,73.893,A,16.096,10,68.977,26.281,74.269,101.694,M,,,,,,,0,0,0,,,,,0,,5.8,9.8
Dave's Ledge,23,3,3,2,19,3D,5.492,,27.963,7.369,11.269,30.889,A,0.698473,1,11.010386,2.056442,3.387059,17.349745,A,2.549,3,16.876,4.162,7.769,30.318,A,5.222,6,19.685,5.738,10.04,32.469,A,11.006,7,46.232,10.127,30.348,56.532,0,0,0,0,0,13,b,0,,6,3.1
Dave's Ledge,24,3,44,8,21,3D,5.017,,24.421,4.982,13.072,35.29,A,0.628,1,8.84,1.851,2.771,14.392,A,0.786,1,12.679,4.175,5.356,23.213,A,6.651,9,25.078,7.584,14.779,38.693,A,13.853,9,52.536,12.586,35.322,60.611,1,0,0,0,0,13,b,1,,6.3,2.9
Dave's Ledge,25,3,50,9,21,hand,8.6,,,,,,D,0,,,,,,D,,,,,,,D,,,,,,,D,,,,,,,1,,,,1,3,,1,,8.6,
Dave's Ledge,26,3,31,5,17,hand,6.6,,,,,,A,16.933,9,54.758,12.845,48.839,78.623,A,1.295,1,12.001,3.9,5.556,20.704,A,4.602,6,15.064,4.609,7.093,22.536,D,7.385,9,21.382,4.249,10.961,28.14,0,1,0,0,1,12,,1,bleached,6.6,2.3
Dave's Ledge,27,3,13,4,20,3D,4.764,,19.158,3.055,6.258,21.436,D,0,,,,,,D,0.093,1,2.322,0.201,0.467,4.807,D,,,,,,,D,,,,,,,1,,,,1,3,,1,,6.9,
Dave's Ledge,28,3,1,1,19,3D,3.969,,16.921,4.808,7.424,22.177,A,6.38,5,32.156,8.957,19.612,41.674,M,,,,,,,M,,,,,,,M,,,,,,,0,1,,,,,,1,,4.6,6.1
Dave's Ledge,29,3,7,3,17,3D,7.818,,25.794,6.206,10.966,29.263,A,12.069,5,45.598,12.591,33.734,59.669,A,11.249,5,48.263,17.395,46.02,72.381,A,12.901,7,61.274,21.446,68.139,93.538,A,,,,,,,0,0,0,,0,13,,0,,7.4,11.7
Dave's Ledge,30,3,41,7,17,3D,11.316,,28.502,6.794,16.764,39.918,A,15.392,6,49.706,10.844,41.158,70.448,A,0.816,1,11.796,3.684,4.976,21.727,A,2.417,3,15.713,4.923,7.482,27.567,A,5.3,7,14.495,3.314,6.316,22.015,0,1,0,0,0,13,b,1,,11.7,1.5
