outplant site,Lon,Lat
Bahia Honda,-81.24203,24.58908
Big Pine Shoals,-81.32655,24.56867
Looe Key,-81.40214,24.54667
Dave's Ledge,-81.48734,24.53051
Maryland Shoals,-81.56991,24.51036
E. Sambo,-81.65961,24.49305
W. Sambo,-81.70334,24.48268
Marker 32,-81.74260,24.47408
Eastern Dry Rocks,-81.84412,24.45948
