station,Lat,Lon
256,24.585,-81.2341
259,24.5704,-81.3217
263,24.5484,-81.3974
267,24.5301,-81.4873
270,24.5216,-81.5643
273,24.4929,-81.6571
276,24.4754,-81.7374
280,24.4536,-81.8437
403,24.483,-81.7
